TID,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17,Product18,Product19,Product20,Product21,Product22,Product23,Product24,Product25,Product26,Product27,Product28,Product29,Product30,Product31,Product32,Product33,Product34,Product35,Product36,Product37,Product38,Product39,Product40
18,butter,milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,citrus,fruit,other,vegetables,whole,milk,dessert,yogurt,frozen,vegetables,fruit/vegetable,juice,Pepsi,salty,snack,,,,,,,,,,,,,,,,,,,,,,,,,
20,other,vegetables,whole,milk,cream,cheese,frozen,meals,rolls/buns,brown,bread,bottled,water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
21,whole,milk,Pepsi,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,liver,loaf,Martadella,citrus,fruit,tropical,fruit,root,vegetables,other,vegetables,whole,milk,curd,dessert,yogurt,frozen,vegetables,brown,bread,semi-finished,bread,oil,dog,food,fruit/vegetable,juice,,,,,,,,,,,,,
23,pip,fruit,beverages,frozen,vegetables,frozen,meals,bottled,water,soda,salty,snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pepsi,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,other,vegetables,frozen,meals,pasta,canned,fish,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,salty,snack,newspapers,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,whole,milk,pastry,semi-finished,bread,sugar,soda,salty,snack,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Frozen,beef,slices,chicken,Martadella,root,vegetables,whole,milk,whipped/sour,cream,rolls/buns,sugar,soda,waffles,chocolate,specialty,chocolate,chocolate,marshmallow,napkins,,,,,,,,,,,,,,,,,,,
29,herbs,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,whole,milk,yogurt,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Martadella,pip,fruit,root,vegetables,other,vegetables,curd,butter,milk,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,root,vegetables,other,vegetables,whole,milk,rolls/buns,bottled,water,dishes,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,chicken,Martadella,pip,fruit,other,vegetables,whole,milk,tidbits,frozen,fish,rolls/buns,margarine,baking,powder,soda,Pepsi,Powedered,honny,waffles,chocolate,candy,,,,,,,,,,,,,,,,,,
36,Frozen,beef,slicesburger,meat,domestic,eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,yogurt,cream,cheese,pastry,canned,fish,fruit/vegetable,juice,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Halawa,Martadella,citrus,fruit,pip,fruit,other,vegetables,whipped/sour,cream,UHT-milk,salad,dressing,frozen,potato,products,salty,snack,newspapers,,,,,,,,,,,,,,,,,,,,,
40,Pepsi,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,sausage,other,vegetables,dessert,yogurt,condensed,milk,hard,cheese,spread,cheese,bottled,water,fruit/vegetable,juice,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,
42,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,tropical,fruit,whole,milk,hard,cheese,rolls/buns,cat,food,bottled,water,dish,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,citrus,fruit,tropical,fruit,pip,fruit,root,vegetables,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,citrus,fruit,other,vegetables,hard,cheese,spices,coffee,Canned,Pepsi,chocolate,candy,flower,(seeds),shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,
46,semi-finished,bread,long,life,bakery,product,waffles,detergent,newspapers,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,whole,milk,semi-finished,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,sausage,tropical,fruit,grapes,berries,other,vegetables,pastry,soda,specialty,chocolate,napkins,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,
49,pip,fruit,pasta,oil,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,sausage,pip,fruit,onions,spices,cat,food,Pepsi,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Frozen,beef,slices,meat,whole,milk,dessert,butter,milk,whipped/sour,cream,sliced,cheese,rolls/buns,soda,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,
52,citrus,fruit,whole,milk,yogurt,whipped/sour,cream,cat,food,specialty,chocolate,female,sanitary,products,,,,,,,,,,,,,,,,,,,,,,,,,,
53,meat,organic,sausage,whole,milk,butter,UHT-milk,frozen,vegetables,pickled,vegetables,cat,food,female,sanitary,products,,,,,,,,,,,,,,,,,,,,,,,,
54,meat,onions,other,vegetables,chewing,gum,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Halawa,whole,milk,yogurt,processed,cheese,ice,cream,frozen,dessert,rolls/buns,white,bread,brown,bread,sugar,coffee,bottled,water,soda,Pepsi,candy,,,,,,,,,,,,,,,,,,
56,sausage,meat,tropical,fruit,rolls/buns,margarine,bottled,water,Pepsi,skin,care,hygiene,articles,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,
57,chicken,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,sausage,citrus,fruit,root,vegetables,whole,milk,waffles,chocolate,marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,tropical,fruit,whole,milk,yogurt,whipped/sour,cream,rolls/buns,cocoa,drinks,bottled,water,Pepsi,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
60,ice,cream,misc.,beverages,Canned,Pepsi,napkins,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,beef,citrus,fruit,butter,domestic,eggs,flour,margarine,baking,powder,long,life,bakery,product,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,rolls/buns,pastry,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,other,vegetables,whole,milk,whipped/sour,cream,pastry,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,beef,berries,onions,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,sausage,whole,milk,semi-finished,bread,flour,fruit/vegetable,juice,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,sausage,whole,milk,hard,cheese,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Frozen,beef,slicesburger,meat,whole,milk,white,bread,brown,bread,sugar,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,whole,milk,rolls/buns,coffee,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,whole,milk,cake,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,hygiene,articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,tropical,fruit,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,citrus,fruit,Pepsi,Powedered,honny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,baking,powder,bottled,water,salty,snack,chewing,gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,whole,milk,instant,coffee,misc.,beverages,fruit/vegetable,juice,chewing,gum,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pepsi,Ginger,powder,(appetizer),dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Martadella,Frozen,beef,slicesburger,meat,other,vegetables,whole,milk,brown,bread,margarine,bottled,water,Pepsi,flower,(seeds),,,,,,,,,,,,,,,,,,,,,,,
85,canned,vegetables,Powedered,honny,newspapers,flower,soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,root,vegetables,onions,whipped/sour,cream,UHT-milk,frozen,dessert,margarine,syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,berries,yogurt,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,liver,loaf,beef,whole,milk,yogurt,soft,cheese,frozen,vegetables,white,bread,roll,products,vinegar,baking,powder,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,
90,citrus,fruit,whipped/sour,cream,brown,bread,bottled,water,hygiene,articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,meat,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,citrus,fruit,tropical,fruit,frozen,meals,frozen,dessert,rolls/buns,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Frozen,beef,slices,pip,fruit,domestic,eggs,pastry,semi-finished,bread,cat,food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,herbs,other,vegetables,whipped/sour,cream,red/blush,wine,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,other,vegetables,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,turkey,other,vegetables,whole,milk,oil,instant,coffee,specialty,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,whole,milk,yogurt,frozen,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,sausage,sliced,cheese,rolls/buns,sugar,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Halawa,rolls/buns,chewing,gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,whole,milk,cream,cheese,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,brown,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,root,vegetables,herbs,other,vegetables,candy,seasonal,products,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,citrus,fruit,tropical,fruit,root,vegetables,other,vegetables,whole,milk,whipped/sour,cream,curd,cheese,frozen,vegetables,soups,cat,food,chewing,gum,,,,,,,,,,,,,,,,,,,
108,sausage,other,vegetables,pasta,oil,margarine,coffee,syrup,Canned,Pepsi,napkins,light,bulbs,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,
109,Halawa,processed,cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,sausage,Frozen,beef,slicesburger,meat,chocolate,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,citrus,fruit,semi-finished,bread,margarine,ready,soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Ginger,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,cooking,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,meat,chicken,root,vegetables,onions,whole,milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Martadella,root,vegetables,sliced,cheese,frozen,vegetables,frozen,potato,products,mustard,bottled,water,fruit/vegetable,juice,napkins,shopping,bags,,,,,,,,,,,,,,,,,,,,,,
117,cooking,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,other,vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,sausage,root,vegetables,beverages,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Halawa,citrus,fruit,berries,whole,milk,yogurt,domestic,eggs,salt,waffles,cake,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,tropical,fruit,brown,bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Martadella,other,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,dessert,nut,snack,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Halawa,turkey,tropical,fruit,grapes,root,vegetables,other,vegetables,whole,milk,frozen,vegetables,frozen,meals,frozen,potato,products,pastry,pickled,vegetables,sweet,spreads,soda,misc.,beverages,salty,snack,cake,bar,chocolate,detergent,house,keeping,products,,,,,
125,sausage,Frozen,beef,slices,other,vegetables,ice,cream,white,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,whipped/sour,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,bottled,water,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,butter,salt,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,other,vegetables,butter,rolls/buns,flower,(seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,whole,milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,rolls/buns,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Halawa,pip,fruit,onions,whole,milk,curd,yogurt,pastry,Instant,food,products,kitchen,utensil,,,,,,,,,,,,,,,,,,,,,,,,,,
134,meat,curd,Pepsi,cake,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,beef,tropical,fruit,root,vegetables,yogurt,brown,bread,canned,fish,Canned,Pepsi,red/blush,wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
136,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,pip,fruit,whole,milk,cream,cheese,rolls/buns,chocolate,cooking,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,rolls/buns,brown,bread,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,sausage,other,vegetables,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,bottled,water,long,life,bakery,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,specialty,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Halawa,sausage,root,vegetables,rolls/buns,pickled,vegetables,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ginger,liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,sausage,other,vegetables,whole,milk,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Halawa,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,root,vegetables,butter,milk,frozen,vegetables,pastry,dish,cleaner,hygiene,articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,pip,fruit,whole,milk,domestic,eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,citrus,fruit,pip,fruit,white,bread,brown,bread,pastry,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,domestic,eggs,rolls/buns,coffee,Canned,Pepsi,Industrial,Fruit,Juice,chocolate,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,fish,rolls/buns,pot,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Martadella,whole,milk,pastry,sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Halawa,sausage,citrus,fruit,root,vegetables,other,vegetables,yogurt,soft,cheese,spread,cheese,rolls/buns,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,
156,Halawa,beef,brown,bread,margarine,soda,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,beverages,cream,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,pip,fruit,butter,frozen,meals,pasta,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,pip,fruit,onions,whole,milk,yogurt,frozen,vegetables,frozen,fish,rolls/buns,semi-finished,bread,margarine,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,
162,sausage,tropical,fruit,whole,milk,yogurt,whipped/sour,cream,white,bread,bottled,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,whole,milk,domestic,eggs,brown,bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,tropical,fruit,other,vegetables,whole,milk,yogurt,cream,cheese,curd,cheese,domestic,eggs,sugar,fruit/vegetable,juice,napkins,,,,,,,,,,,,,,,,,,,,,,,
165,other,vegetables,rolls/buns,fruit/vegetable,juice,cooking,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,other,vegetables,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,whole,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,spread,cheese,brown,bread,Canned,Pepsi,red/blush,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,tropical,fruit,whole,milk,curd,yogurt,sliced,cheese,mayonnaise,frozen,meals,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,sausage,beef,Frozen,beef,slicesburger,meat,other,vegetables,whole,milk,butter,domestic,eggs,roll,products,sauces,Pepsi,,,,,,,,,,,,,,,,,,,,,,,
171,Halawa,Martadella,beef,Frozen,beef,slicesburger,meat,other,vegetables,whole,milk,butter,curd,yogurt,whipped/sour,cream,cream,cheese,frozen,vegetables,domestic,eggs,rolls/buns,sugar,mustard,ketchup,meat,spreads,canned,fish,Pepsi,chewing,gum,decalcifier,hygiene,articles,,,,
172,Frozen,beef,slicesburger,meat,tropical,fruit,other,vegetables,whole,milk,butter,curd,dessert,yogurt,whipped/sour,cream,UHT-milk,domestic,eggs,pastry,flour,margarine,cereals,canned,fish,cat,food,bottled,water,Pepsi,hygiene,articles,napkins,,,,,,,
173,brown,bread,Canned,honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,whole,milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,whole,milk,yogurt,frozen,potato,products,brown,bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,brown,bread,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,domestic,eggs,specialty,bar,seasonal,products,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Canned,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,coffee,misc.,beverages,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,curd,flour,Ginger,powder,(appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Frozen,beef,slices,frozen,potato,products,white,bread,pastry,cat,food,bottled,water,soda,candy,sound,storage,medium,shopping,bags,,,,,,,,,,,,,,,,,,,,
182,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Frozen,beef,slicesburger,meat,tropical,fruit,root,vegetables,whole,milk,frozen,meals,rolls/buns,pasta,waffles,,,,,,,,,,,,,,,,,,,,,,,,,
184,Halawa,packaged,fruit/vegetables,soft,cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,sausage,other,vegetables,yogurt,soda,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,rolls/buns,pastry,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,butter,domestic,eggs,flour,soups,baking,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,citrus,fruit,whole,milk,yogurt,spread,cheese,brown,bread,Pepsi,Powedered,honny,long,life,bakery,product,flower,(seeds),,,,,,,,,,,,,,,,,,,,,,
189,tropical,fruit,pip,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,yogurt,whipped/sour,cream,flour,margarine,sugar,baking,powder,cat,food,soda,fruit/vegetable,juice,chocolate,hygiene,articles,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,
191,Martadella,citrus,fruit,root,vegetables,whole,milk,dessert,yogurt,frozen,fish,margarine,pickled,vegetables,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,
192,tropical,fruit,dessert,yogurt,domestic,eggs,oil,fruit/vegetable,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Frozen,beef,slices,root,vegetables,whipped/sour,cream,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,yogurt,cream,cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,organic,sausage,citrus,fruit,whole,milk,whipped/sour,cream,hard,cheese,rolls/buns,pastry,Pepsi,long,life,bakery,product,detergent,napkins,house,keeping,products,candles,,,,,,,,,,,,,,,,,
196,Frozen,beef,slicesburger,meat,yogurt,margarine,sauces,canned,vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,whipped/sour,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Martadella,root,vegetables,other,vegetables,whole,milk,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,salty,snack,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,beverages,frozen,vegetables,soda,fruit/vegetable,juice,popcorn,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,chicken,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,fruit/vegetable,juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,tropical,fruit,whole,milk,cream,cheese,processed,cheese,rolls/buns,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,beef,whipped/sour,cream,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,beef,packaged,fruit/vegetables,pot,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,misc.,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,brown,bread,hair,spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,butter,rolls/buns,pastry,bottled,water,Canned,Pepsi,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,sausage,fish,other,vegetables,brown,bread,shopping,bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
